node1,node2,combined_score
CCK,IAPP,0.647
IL3,STAT3,0.646
VEGFA,CDH1,0.646
AKT1,APOE,0.646
KCNJ11,PPARG,0.646
STAT1,ICAM1,0.646
NOTCH4,TRIO,0.646
B3GAT1,IL2,0.646
PKM,ACO2,0.646
SPP1,CASP8,0.646
AR,CASP3,0.646
PDGFB,ADIPOQ,0.646
NOD2,NFKB1,0.646
VEGFA,NOTCH1,0.646
TH,UCHL1,0.646
EGR1,ENO1,0.646
MAML2,NOTCH2,0.646
TXN,CASP3,0.646
PTEN,IGF1,0.645
SDHC,INS,0.645
JAK2,TSPO,0.645
JAK2,MTOR,0.645
BRCA1,NFE2L2,0.645
CNR1,RAP1GAP,0.645
WWOX,CDH1,0.645
LDLR,MTTP,0.645
CTNNB1,TSPO,0.645
F3,KDR,0.645
COMMD1,AKT1,0.645
NKX2-3,FGF3,0.645
IL8,TP53,0.645
TLR4,CSF2,0.645
JUN,ERBB3,0.645
ALB,HMOX1,0.645
PC,GLUL,0.645
TLR4,ALB,0.645
IGBP1,NDRG1,0.645
MTOR,ESR1,0.645
LEP,F2,0.645
JUND,SPARC,0.645
HSPA5,IQGAP1,0.645
SDHB,IQGAP1,0.644
PER3,ATM,0.644
BCL2L1,ALB,0.644
PALLD,ACOX1,0.644
RELA,TP63,0.644
CHEK2,PER3,0.644
BRCA1,CASP3,0.644
ATF3,BTG2,0.644
SNCA,TP63,0.644
SRC,CA3,0.644
PNPT1,HSPB1,0.644
PTPRC,INS,0.644
STAT1,IL4,0.644
MGAT5,LGALS3,0.644
KDR,THBS1,0.644
SIRT7,NAMPT,0.644
RAC1,JUND,0.644
NDRG1,ANXA5,0.644
COPS5,STAT3,0.644
LPXN,MAPK13,0.644
IFNA1,IL1B,0.644
TLR4,APOE,0.644
TIMMDC1,ABCD3,0.644
PALLD,HSPB1,0.644
HRAS,AGTR1,0.644
ETFA,SORD,0.644
EGFR,AKT1,0.644
TLR4,SOCS1,0.644
RIPK2,TNFRSF1A,0.644
PRKDC,PTER,0.644
FGF7,NRP1,0.644
TM9SF4,IGF2R,0.644
PALLD,IGBP1,0.644
TSPO,PDGFRB,0.644
MAT1A,MVK,0.644
HSPA5,LPP,0.644
PC,TUFM,0.644
PLG,MMP14,0.644
RAD51B,ATRX,0.644
RELA,PPARD,0.644
NQO1,LAMB1,0.644
TGM2,RB1,0.644
SDHA,PROCR,0.644
ITLN1,LTF,0.643
CCL5,ICAM1,0.643
PLG,TIMP2,0.643
GLUL,GAPDH,0.643
EGR1,GAPDH,0.643
THEMIS,TAGAP,0.643
SRC,SOCS1,0.643
SERPINA4,PLEK,0.643
GCK,PYGL,0.643
FASLG,TNFRSF10A,0.643
EDN1,MMP9,0.643
LPL,IRS1,0.643
DAXX,STAT3,0.643
COL3A1,FGF7,0.643
IRS2,GCK,0.643
PDGFB,FOS,0.643
NOS3,PPARA,0.643
TSPO,RAF1,0.643
APOE,NFKB1,0.643
ACADM,CRYL1,0.643
MIF,NME1,0.643
ITGAM,CCR1,0.643
TP53,GGT1,0.643
ACADM,ACOX1,0.643
MYC,SDHC,0.643
CRYL1,ACOX1,0.643
ACACA,SDHA,0.643
PKM,IDH1,0.642
CD44,HGF,0.642
FGFR2,KIF1B,0.642
SREBF2,NPC1,0.642
MMP1,SERPINE1,0.642
HMGCR,ABCG5,0.642
SMAD4,MAPK14,0.642
TALDO1,ENO1,0.642
JUN,MUC1,0.642
BRCA1,TP63,0.642
MBTPS1,BIRC3,0.642
SCNN1B,REN,0.642
MMP1,FGF7,0.642
REN,SLC9A3,0.642
FN1,GZMB,0.642
PTK2,ERBB3,0.642
ESR1,HDAC7,0.642
MTHFR,PON1,0.641
ANXA5,ANXA1,0.641
RAC1,PRKCB,0.641
TRIM24,HNF4A,0.641
ANXA5,AKT1,0.641
TP53,ELF1,0.641
SOCS1,COMMD1,0.641
TP53,GHR,0.641
MCL1,TNFRSF10A,0.641
ABCB1,APEX1,0.641
BIRC5,GAPDH,0.641
SOCS3,AKT1,0.641
UCHL1,USP2,0.64
CTGF,ERBB4,0.64
SREBF2,ACLY,0.64
NDFIP1,SLC11A1,0.64
HSPA1A,XBP1,0.64
SPHK1,CDK14,0.64
TGM2,KRT19,0.64
PRKDC,PIK3CA,0.64
TH,INS,0.64
POMC,VTN,0.64
STAT1,SRMS,0.64
KRAS,GAPDH,0.64
NOS2,CFTR,0.64
PTK2,CFTR,0.64
KRT18,PLG,0.64
RAC1,TP53,0.64
ABL1,STAT4,0.639
MKI67,BCL2,0.639
RAC1,FOS,0.639
RELA,HSPA5,0.639
ATOX1,COMMD1,0.639
SERPINC1,F3,0.639
FCGR2A,LGALS3,0.639
MAPK14,ACTA2,0.639
ASPG,ACLY,0.639
CDKN2A,CHEK2,0.639
HNF4A,FOS,0.639
MYC,PDGFB,0.639
ARID2,JUND,0.639
HSPA9,ACLY,0.639
ATP5B,ACO2,0.638
ACTB,ENO1,0.638
MAOB,PRDM1,0.638
KLF5,PRKCD,0.638
ACTB,HSPA5,0.638
IGF1,SULT2A1,0.638
PRKCA,KLF5,0.638
CEBPD,SMAD3,0.638
PRKAA1,PNPLA3,0.638
RUNX3,TGFB1,0.638
TAGLN2,PLS1,0.638
ATF3,XBP1,0.638
BIRC5,NFKB1,0.638
MAPK8,XIAP,0.638
ERBB2,CDKN1B,0.638
IKZF3,HDAC7,0.638
PC,ACACA,0.638
PRDM1,MAOA,0.638
BCL2,NOS2,0.638
ALDH1B1,ACACA,0.638
NOTCH4,TCF4,0.638
MME,CCND1,0.637
SMAD4,APC2,0.637
IL18,IL4,0.637
IRS1,ALB,0.637
TGM2,ANXA1,0.637
KRT18,CASP3,0.637
KRT18,HSPA5,0.637
SLC29A1,RRM1,0.637
NFKB1,PSMA4,0.637
DMD,PTRF,0.637
LPL,IL6,0.637
NOS2,SERPINE1,0.637
PRKCB,RB1,0.637
FN1,FST,0.637
TSPO,SMAD2,0.637
PTGS1,STAT3,0.637
HRAS,GAPDH,0.637
SMAD2,TSC2,0.637
CTLA4,IL4,0.637
PLA2G4A,MAPK13,0.636
PPP3CA,MAPK14,0.636
MAT1A,STK11,0.636
SRC,KNG1,0.636
TNFRSF1B,STAT1,0.636
INS,IL2,0.636
TAC1,UCHL1,0.636
GDNF,FGF2,0.636
ACACA,ALDH1A1,0.636
PPARG,GAPDH,0.636
CD247,PTPN22,0.636
CA2,SLC9A3,0.636
CD81,GGT1,0.636
TNF,CXCL12,0.636
NR1H4,SRC,0.636
ALB,ERBB2,0.636
PTPN22,MAPK14,0.636
TLR4,PTPRC,0.636
PTGS2,JUP,0.636
ICAM1,TIMP1,0.636
PRKCA,DDX58,0.636
CDKN2A,DAP,0.636
TXN,INS,0.636
KRT7,EPCAM,0.636
MSH6,ESR1,0.636
SMAD3,TSC2,0.636
STAT3,KDR,0.636
RORC,IL23R,0.636
GOT1,GLUL,0.636
PRNP,MAPK8,0.636
TNF,CCL7,0.636
ADH1B,PGD,0.636
ACLY,UMPS,0.635
TF,AFP,0.635
PTGIR,KNG1,0.635
IL4,GAPDH,0.635
IL10,PTPRC,0.635
NOTCH4,EFNB2,0.635
KRT19,CDH1,0.635
HSPA1B,XBP1,0.635
HSD17B6,ALB,0.635
KRT7,TP53,0.635
TGFBR2,CDH3,0.635
SCD,UCP2,0.635
STAT3,TGFB1,0.635
TGFBR2,FGF4,0.635
KRT8,EPCAM,0.635
AGT,APOE,0.635
GLUL,ALB,0.635
COMT,NRG1,0.635
PCK1,FASN,0.635
SCD,ACSL4,0.635
LEP,CCL2,0.635
CNR1,LEP,0.635
SNCA,TP53,0.635
ENO3,EGF,0.635
BIRC5,TNFSF10,0.635
TIMP3,VTN,0.635
CEBPD,E2F1,0.635
SREBF2,MTTP,0.635
CD86,IL4,0.635
TSPO,EGR1,0.635
MTHFR,DPYD,0.635
ACTB,GNA12,0.635
MUTYH,XRCC3,0.635
MSLN,PSCA,0.635
GH1,CSF3,0.635
CD40,ALB,0.635
PEX11B,PEX6,0.635
ADH7,PGD,0.635
CCL2,SERPINE1,0.635
CA2,INS,0.635
SREBF1,APOE,0.634
ACACA,NOS3,0.634
IL2,CSF3,0.634
APOE,GAPDH,0.634
EDN1,APOE,0.634
CDKN2A,RUNX3,0.634
PTPN22,MAPK13,0.634
SNCA,TGM1,0.634
ABCG8,APOE,0.634
RARA,SIRT1,0.634
RELA,GAPDH,0.634
FAS,CASP3,0.634
MMP9,CTGF,0.634
LDLR,CYP7A1,0.634
STAT4,HAMP,0.634
IL3,PDGFRB,0.634
INS,CCL2,0.634
ABCC8,PDX1,0.634
MYLK,ALB,0.634
MTTP,PPARA,0.634
RAF1,INS,0.634
BIRC3,CCND1,0.634
FGF2,HBEGF,0.634
ACACA,ALDH2,0.634
CD40,GAPDH,0.634
LEP,GAPDH,0.634
SPIB,CEBPB,0.634
PLG,FGF2,0.634
NOS2,SLC40A1,0.634
AR,FGF7,0.634
ITGAM,IL2,0.634
MYC,UBE2L3,0.634
AGT,ALB,0.634
PTPRC,GZMB,0.634
GSTP1,MTHFR,0.634
ACOX1,CAT,0.634
ATG5,AKT1,0.634
APOE,CCL2,0.634
IGF1,CYP19A1,0.634
BRCA1,HRAS,0.634
FASN,APOB,0.634
MTOR,NOTCH1,0.634
PTPN2,MAPK13,0.634
MTOR,CDKN1A,0.633
MAPK8,INHBA,0.633
FASLG,BCL2L1,0.633
PTEN,RAF1,0.633
TSPO,MAPK14,0.633
FOXM1,INS,0.633
GPX1,GAPDH,0.633
DDX58,IFNA1,0.633
JUN,PPARG,0.633
GH1,GHSR,0.633
ABL1,PRKCD,0.633
TSPO,PLEK,0.633
BRCA2,RB1,0.633
SPP1,VTN,0.633
TSPO,HSD17B6,0.633
TF,GGT1,0.633
HNF4A,ALB,0.633
IL10,IL1A,0.633
CEBPA,ATF3,0.633
LTA,CD40,0.633
CDKN2A,ESR1,0.633
MMP1,TGFB1,0.633
TLR4,CCL2,0.633
NR1I2,ABCC3,0.633
GH1,IGFBP2,0.633
CTLA4,GZMB,0.633
TSPO,SERPINE1,0.633
CD80,IL4,0.633
PTPRC,CTLA4,0.633
KRT8,CFTR,0.632
MAPK8,SNCA,0.632
TH,ALB,0.632
CTNNB1,WIF1,0.632
SOCS3,TNFSF10,0.632
MMP1,PLG,0.632
SLC39A11,SLC30A7,0.632
COL3A1,MMP2,0.632
IFFO2,ACACA,0.632
ACACA,UMPS,0.632
ALAS2,CPOX,0.632
ICOS,B3GAT1,0.632
GSK3B,INS,0.632
ACACA,ALDH1A2,0.632
PGD,CAT,0.632
AR,HMGB2,0.632
CLCA2,GGT1,0.632
SRC,XRCC3,0.632
SMAD2,COL1A1,0.632
ACLY,UROD,0.632
TLR4,SOCS3,0.632
JDP2,MAPK13,0.632
MAP3K3,NFKBIA,0.632
F2R,TERT,0.632
GPNMB,TSPO,0.632
CTGF,MMP1,0.632
AGT,AQP7,0.632
CD44,TGFBR2,0.632
CP,LOX,0.632
MTOR,ALB,0.632
TSPO,HSPA5,0.632
IGF1,FGF7,0.632
ARPC2,TMBIM1,0.632
SMAD2,SNAI2,0.632
CXCL12,ALB,0.632
BRCA1,CDH1,0.632
FGF13,IGF1,0.632
IL10,GAPDH,0.632
ACTB,ESR1,0.632
BRCA1,RASSF1,0.632
GREM1,FST,0.632
TSPO,CTSD,0.632
CD40,STAT3,0.631
JAK2,PTEN,0.631
FGF7,ERBB3,0.631
RAD51B,DPYD,0.631
IL8,INS,0.631
PTGS1,STAT1,0.631
AKAP13,MAPK13,0.631
NR1I3,ABCB1,0.631
GCG,PPARA,0.631
MAGI1,CDKN3,0.631
GLUL,CAT,0.631
STAT1,GSK3B,0.631
CFLAR,BAX,0.631
PRKCB,KIT,0.631
HNF4A,AKT1,0.631
IRF5,BANK1,0.631
DAXX,DAP,0.631
RAD51B,MLH3,0.631
THADA,NOTCH2,0.631
FHIT,MLH1,0.631
HSD17B6,HSD3B7,0.631
ADIPOQ,IRS1,0.631
TAC1,ALB,0.631
GSK3B,HNF4A,0.631
ALB,RAF1,0.631
USP2,CCND1,0.631
PTPRC,PDGFRB,0.631
DPYD,MLH1,0.631
FOXM1,GGT1,0.631
PDIA3,ACLY,0.631
FGF2,HGF,0.631
IRS1,TSC2,0.631
PTPRC,B3GAT1,0.631
EDN1,FGF2,0.631
RARA,MAPK14,0.631
CSF2,IL11,0.63
MTOR,FLT1,0.63
ACTB,PIK3CA,0.63
CD40,VCAM1,0.63
NR1I3,CYP7A1,0.63
TGM2,TGFB1,0.63
IL8,TGFB1,0.63
E2F1,NFKB1,0.63
MCL1,TSPO,0.63
JAK2,TP53,0.63
PARP1,HDAC7,0.63
TPM1,PIK3CA,0.63
TGM2,ACTB,0.63
WWOX,EGFR,0.63
SLC26A3,CFTR,0.63
HIF1A,FGF2,0.63
FASLG,TP53,0.63
ENO3,GCK,0.63
IL8,IL13,0.63
HIF1A,MMP14,0.63
XIAP,CCND1,0.63
RAC1,RDX,0.63
RPS6KA3,CTNNB1,0.63
BTC,ADAM17,0.63
STAT6,SRMS,0.629
NOS1,CASP3,0.629
HSPA1B,ACLY,0.629
MT1A,TP53,0.629
HSPA9,ENO1,0.629
KRT18,MAPK14,0.629
SNCA,CYCS,0.629
SDHB,ACACA,0.629
WT1,TP63,0.629
F3,F2R,0.629
STAT4,SRMS,0.629
FGF3,EGFR,0.629
CAMK2A,EGFR,0.629
PLA2G4A,CTNNB1,0.629
ACTB,SNCA,0.629
CTNNB1,PKM,0.629
MMP14,NOS3,0.629
FAS,FASN,0.629
HSPA1A,ACLY,0.629
GC,ACTA2,0.628
CASP3,IL18,0.628
PGD,SORD,0.628
PTPRC,AKT1,0.628
CHP1,GAPDH,0.628
TRIM24,TRIM37,0.628
PDIA3,GAPDH,0.628
PARP1,GZMB,0.628
RUNX3,KRAS,0.628
A2M,ADAMTS1,0.628
GREM1,FLT1,0.628
MST1,MET,0.628
PLG,HSPB1,0.628
PLAU,ENO3,0.628
PRDX2,BIRC3,0.628
MAPK8,EGFR,0.628
KRT8,CDH1,0.627
PTK2,ALB,0.627
IKBKG,CCK,0.627
HGFAC,F2,0.627
RET,EGFR,0.627
RELA,TGM2,0.627
TSC1,IGF1R,0.627
LPXN,HSPB1,0.627
MST1,FOS,0.627
SMAD3,GAPDH,0.627
CNR1,MET,0.627
CTNNB1,FGF2,0.627
ATG5,ACTA2,0.627
ALB,PPARG,0.626
SLC2A1,PDIA3,0.626
ILK,NOTCH1,0.626
NR5A2,SMAD2,0.626
ATF3,MAPK13,0.626
ACLY,MSH6,0.626
CCL2,CSF3,0.626
RELA,CCNE1,0.626
L1CAM,CYP7B1,0.626
DMD,TSPO,0.626
RAC1,ACLY,0.626
GADD45A,BAX,0.626
PTPN2,ERBB3,0.626
PTPRC,ANXA5,0.626
APOB,SERPINE1,0.626
ACLY,MSH2,0.626
TSPO,CTLA4,0.626
MMP1,FGF2,0.626
ACACA,PPARA,0.626
ANXA2,FLT1,0.626
IL1B,CSF3,0.626
NR5A2,SMAD3,0.626
HMGCR,ACLY,0.626
PTGS1,CTNNB1,0.626
PTCH1,SFRP1,0.626
AR,F2,0.626
NR1I2,MAPK13,0.626
BCAR1,CASP3,0.625
LEP,CYP19A1,0.625
ACE,IL6,0.625
FGF13,ERBB2,0.625
MMP9,PPARG,0.625
CASP3,ANXA5,0.625
NOS3,SLC40A1,0.625
TLR4,F2RL1,0.625
IL17A,IL21,0.625
HLA-DPB1,PTPRC,0.625
RPS6,IRS1,0.625
COMMD1,BIRC3,0.625
FOS,ERBB3,0.625
IFNA1,TYK2,0.625
TPM4,PIK3CA,0.625
BCL2,KDR,0.625
PRKCA,MYLK,0.625
KRT19,ALB,0.625
FGFR2,PTPRC,0.624
RIT1,ACLY,0.624
TLR4,IL12B,0.624
ERBB2,MMP2,0.624
PRDX6,APEX1,0.624
MAF,BACH2,0.624
IDH1,GAPDH,0.624
TNF,GZMB,0.624
CYP7A1,MAPK13,0.624
CDKN1B,ESR1,0.624
PRKDC,MAPK14,0.624
NOTCH4,MAPK14,0.624
BRCA1,MAP3K3,0.624
CCL20,IL17A,0.624
PTPRC,TLR9,0.624
UCHL1,CDKN1B,0.624
MED1,ATM,0.624
MBTPS2,HSPA5,0.624
PTPRC,VCAM1,0.624
SPP1,CASP3,0.624
MMP14,MMP13,0.624
SNCA,PIK3CA,0.624
THBS1,PLEK,0.624
PIK3CA,ACTA2,0.624
SMAD3,TP63,0.624
GADD45A,ATM,0.624
PKM,PGD,0.624
PRKCA,PPARA,0.624
DDX58,KRAS,0.624
HP,IL10RB,0.624
NOS2,CDKN1A,0.624
UCP2,GCK,0.624
IL4,NFKB1,0.624
GSK3B,TP63,0.624
CCR5,IL2,0.623
CRYAB,MAPK13,0.623
CDH1,INS,0.623
FGF7,HGF,0.623
AVP,PDYN,0.623
SDHC,HNF4A,0.623
CLDN2,CDH1,0.623
BRCA1,KRAS,0.623
BCL2,RB1,0.623
CDKN2A,TIMP3,0.623
SMAD4,GAPDH,0.623
CDK14,STX1A,0.623
TNF,ANXA5,0.623
TSPO,STAT6,0.623
PRKCA,TYK2,0.623
TNF,TIMP1,0.623
GSTA2,NR1I2,0.623
MLH3,PRKDC,0.623
TFF3,MUC2,0.623
NOS2,BIRC5,0.623
PTPRC,FLT1,0.623
GCG,PC,0.623
WWOX,RNF6,0.623
IL8,MIF,0.623
PARP1,HSPA5,0.623
DDX58,NFKB1,0.623
AR,ALB,0.623
IRS1,NOS3,0.623
ATG16L1,DLG5,0.623
MYC,XIAP,0.623
TNF,IL17A,0.623
PARP1,PKP1,0.623
ALPL,NFKBIA,0.623
IL8,IL18,0.623
IFNGR1,FOS,0.623
HSD17B6,REN,0.623
FOS,BRAF,0.623
LDLR,PPARA,0.623
CD81,KRAS,0.623
CASP8,UBE2L3,0.623
LDLR,ABCG8,0.623
AGT,MAPK13,0.622
PRKCE,CFTR,0.622
RAG2,SKP2,0.622
LPXN,GSK3B,0.622
RPS6KA3,BCL2,0.622
LPXN,BCAR1,0.622
CDKN2A,HIC1,0.622
ATXN2L,ATXN2,0.622
TSPO,MMP1,0.622
PHB,SKP2,0.622
RPS6KA3,KRAS,0.622
HSPA5,NFKB1,0.622
PTPN2,GHR,0.622
PTEN,MSH2,0.622
HSPA1A,COPS5,0.622
GNA12,PLCE1,0.622
HRAS,CDKN1A,0.622
SERPINH1,PDIA3,0.622
STAT1,IGBP1,0.622
JUN,COL1A1,0.622
AFP,MUC1,0.622
CHEK2,CCNE1,0.622
UMPS,NME1,0.622
TP63,NFKB1,0.622
CD40,PIK3CA,0.622
KIT,PDGFRA,0.621
ABCG8,SLC10A1,0.621
BCL2,GSK3B,0.621
MUC1,TNFRSF1A,0.621
JAK2,SKP2,0.621
IKBKG,MUC1,0.621
RPS6KA3,SLC9A3,0.621
CCS,SOD2,0.621
RAC1,TNFRSF1A,0.621
TF,IL3,0.621
ACTB,MMP14,0.621
PTK2,CDH1,0.621
PTGS1,GSK3B,0.621
AGT,SLC9A1,0.621
CFLAR,RARA,0.621
KIT,PLCE1,0.62
KRT7,CDH1,0.62
AKT1,CYP19A1,0.62
ADAD1,SPATA5,0.62
GAST,CP,0.62
PTEN,MCL1,0.62
MYO5B,JAG1,0.62
CXCL12,GAPDH,0.62
XIAP,PIK3CA,0.62
JUN,HCFC1,0.62
ERBB4,CDKN1A,0.62
HSPA1A,PDIA3,0.62
JAG2,MYO5B,0.62
HSPA1B,TLR4,0.62
GSTP1,MAPK14,0.619
SNCA,PRKCE,0.619
FGFR2,PKM,0.619
GRIN2A,NOS2,0.619
ITGAM,FOS,0.619
PLA2G4A,PPARD,0.619
PCSK5,CTSD,0.619
HSPA1B,COPS5,0.619
EPO,LIF,0.619
TCF4,HES1,0.619
CASP3,GAPDH,0.619
KRAS,CDKN1A,0.619
BRCA1,RDX,0.619
NOTCH1,FGF4,0.619
PRKCA,VTN,0.619
JUN,CFLAR,0.619
RBP4,ALB,0.619
ITGAM,CXCR2,0.619
BIRC5,BCL2A1,0.619
PRKACB,HNF4A,0.619
ALOX5,ACTB,0.619
NRP1,FGF4,0.619
E2F1,GSK3B,0.619
TNF,CCL3,0.619
RAC1,TYK2,0.619
GSTA1,KEAP1,0.619
PPP3CA,CASP3,0.618
HSPA1B,DPYD,0.618
PIK3CA,MAPK14,0.618
CEL,LTF,0.618
CEBPB,CCL3,0.618
HIF1A,KRAS,0.618
BRAF,RB1,0.618
PRSS3,ALB,0.618
MYO9B,MYO5B,0.618
PTK2,CCR5,0.618
DPYD,HSPA5,0.618
DPYD,HSPA9,0.618
HRAS,NOS3,0.618
SLC2A2,HNF4A,0.618
ERBB3,CYP19A1,0.618
HSPA1A,DPYD,0.618
PPP3CA,SOD1,0.617
CYP7A1,ABCB4,0.617
MYC,NOTCH4,0.617
ASPG,CAT,0.617
TGFBR2,FGF21,0.617
ERBB4,ESR1,0.617
TF,PLG,0.617
NCF4,PRKCD,0.617
ATG5,SNCA,0.617
FGF2,NOTCH3,0.617
SRC,SYN3,0.617
GOT1,ADH4,0.617
MTOR,FLCN,0.617
GNMT,MAT1A,0.617
CYP1A2,HPGDS,0.616
SRC,ARID1A,0.616
NOS2,CXCR1,0.616
RAD51B,PMS2,0.616
NOS1,CXCR1,0.616
TJP2,CTNNB1,0.616
HIF1A,COMMD1,0.616
PPP3CB,SLC8A1,0.616
YBX1,GSK3B,0.616
NOS3,CXCR1,0.616
BCL2L1,CRYAB,0.615
MYO5B,IQGAP1,0.615
TXN,COL1A1,0.615
HLA-DRB1,BCL2,0.615
ATG5,BCL2L1,0.615
IL12B,MAPK13,0.615
SNCA,EGFR,0.615
MYO5B,IQGAP2,0.615
ENO3,EGR1,0.615
MKI67,HDAC7,0.615
UBE2L3,NFKBIA,0.615
MTOR,IL4,0.615
LPP,MAPK14,0.615
CP,COX17,0.615
NOTCH1,TGFB1,0.615
PDIA3,IQGAP2,0.615
PLAU,IGF2R,0.615
ERBB4,CDH1,0.615
LPP,MAPK13,0.615
CASP8,MAPK13,0.614
HEY2,HES1,0.614
UBE2L3,FOS,0.614
PTPRC,NOTCH1,0.614
ALOX5,AGT,0.614
FASN,CYP7A1,0.614
FRMD4B,DLG5,0.614
AGT,IQGAP2,0.614
SERPINE1,MAPK13,0.614
TNF,STAT6,0.614
MAFG,MAF,0.614
SREBF2,SREBF1,0.614
TNFRSF1B,LINGO2,0.614
MYC,CD6,0.614
HSPA5,A2M,0.614
COL4A1,ACHE,0.614
GSTP1,TGM2,0.614
ITGAL,HMGCR,0.614
AKT1,NFKBIA,0.614
F3,PLG,0.614
BRCA1,ARNT,0.613
GADD45A,MAPK13,0.613
FGF13,ERBB3,0.613
TGFBR2,FGF19,0.613
RUNX3,HRAS,0.613
RRM2,CDH1,0.613
CYCS,ATP5H,0.613
PTCH1,NOTCH2,0.613
GCG,GGT1,0.613
MMP9,FGF13,0.613
ERBB4,FGF7,0.613
DLG5,ADD1,0.613
PTEN,CASP3,0.613
AKR1B10,ACACA,0.613
ABCG5,APOA1,0.613
ACHE,ENO1,0.613
TGFBR2,FGF3,0.613
CPOX,ACO2,0.613
LAMA1,HIF1A,0.613
FGF13,ERBB4,0.613
PTPN22,PRKCD,0.613
BCL2L1,ANXA5,0.613
ACTB,NT5E,0.612
TERT,GAPDH,0.612
HSPA9,SDHA,0.612
PRKCD,EGFR,0.612
ACTB,ATG5,0.612
CCL7,IL8,0.612
FLT1,NOTCH3,0.612
HMGCR,SC5DL,0.612
HSD17B4,HSD17B6,0.612
NFIA,CYP17A1,0.612
ALDH2,GSTT1,0.611
PRKAA1,PIK3CA,0.611
ABCC2,CYP3A4,0.611
TNF,BAX,0.611
MYC,NOTCH2,0.611
RELA,ALPL,0.611
SLC11A2,ATP7A,0.611
COPS5,GSK3B,0.611
MTR,BHMT,0.611
FGF2,SMAD2,0.611
DMD,CYP2A6,0.611
NOTCH2,CDKN1A,0.611
TUFM,GAPDH,0.611
MASP2,IFNG,0.611
EHMT2,SIRT1,0.611
PTGS2,NOTCH3,0.611
ADAM17,MMP2,0.611
NAV2,TRIO,0.61
SYN3,MAPK13,0.61
CRABP1,RARA,0.61
AXIN1,SFRP1,0.61
IFNB1,DDX58,0.61
SYN3,MAPK14,0.61
PLA2G4A,PLG,0.61
TRPM7,SCNN1G,0.61
F3,MVK,0.61
XPA,ALDOB,0.61
ABL1,FGFR1OP,0.61
IGF1R,TSC2,0.61
SOCS1,PDGFRB,0.61
IGBP1,VCAM1,0.61
ASPG,CNR2,0.61
PARP1,CTNNB1,0.61
GAST,ACLY,0.61
HEY2,SEL1L,0.61
VCAM1,GAPDH,0.61
IL8,IL12A,0.609
SRC,RDX,0.609
NAB1,BCL2L1,0.609
IL1RAP,IL18R1,0.609
SDHC,PDGFRA,0.609
MMP14,FGF2,0.609
AKT1,IL4,0.609
SMAD3,ARID1A,0.609
HLA-DQB2,BCL2,0.609
AFP,XIAP,0.609
LPXN,STS,0.609
MMP14,AKT1,0.609
TP63,NOTCH3,0.609
PTGS1,PTGIR,0.609
SLC26A3,EPCAM,0.609
WIF1,AXIN1,0.609
LCN2,HBEGF,0.609
HEY1,SEL1L,0.609
FLT1,SCARB1,0.609
GC,CYP2R1,0.609
CXCL1,IL1B,0.609
BCL2,MET,0.609
FOS,CAT,0.609
SDHC,FLCN,0.609
TJP2,LPP,0.608
AKT1,VTN,0.608
NOTCH4,ID2,0.608
PRDX2,ESR1,0.608
IDH1,PEPD,0.608
STAT4,LEPR,0.608
HSPA1A,TLR4,0.608
CD247,TYROBP,0.608
GSDMB,IKZF3,0.608
IRS1,ERBB2,0.608
HIC1,STAT3,0.608
IL1A,NFKB1,0.608
PTEN,FLT1,0.608
HRAS,ESR1,0.608
KRT18,RAF1,0.608
NCF4,PRKDC,0.608
SLC2A2,IRS1,0.608
GPR35,PTHLH,0.608
GSDMB,EAF2,0.608
RNASET2,PUS10,0.608
MLH3,EPCAM,0.608
TIMP3,THBS1,0.608
ATP7A,MT2A,0.608
ITGAM,LPXN,0.607
HSPB1,HMOX1,0.607
LDLR,FLT1,0.607
CEBPD,RRM2,0.607
HSPA1B,SMAD2,0.607
FGF13,MMP2,0.607
CD6,LGALS3,0.607
ACHE,COL1A1,0.607
DLEC1,PLCE1,0.607
MMP1,EGFR,0.607
WT1,PLCE1,0.607
CD40,IFNG,0.607
STAT6,PPP1R1A,0.607
RAD51B,UMPS,0.607
JUN,ACTA2,0.607
SLC40A1,MT2A,0.607
XRCC3,UMPS,0.607
CHEK2,CCND1,0.607
DHCR7,CYP19A1,0.607
ABCG8,APOB,0.607
GSTA2,KEAP1,0.607
NKX2-3,FGF4,0.607
IFNA2,IL10RB,0.607
MYC,CASP3,0.607
HADHB,FGF19,0.607
AKT1,ACTA2,0.607
GGT1,NAMPT,0.607
BCL2,ACTA2,0.607
POU2AF1,IKZF3,0.607
MANF,PALLD,0.607
HSPA1A,GAPDH,0.607
TLR4,XIAP,0.607
HSPA1A,SMAD2,0.607
GNA12,PPP5C,0.607
EPCAM,MSH2,0.607
CEBPD,SMAD4,0.606
CYP7A1,SLC51A,0.606
IL24,IL12A,0.606
BCAR1,TYK2,0.606
HSPA1A,IKBKG,0.606
GOT1,PGD,0.606
FN1,SMAD4,0.606
MUC1,HIF1A,0.606
TP63,NOTCH2,0.606
MAPK8,HSPB1,0.606
NRP1,EFNB2,0.606
ANXA1,COL1A1,0.606
FGF19,GCKR,0.606
PC,GAPDH,0.606
OCLN,SCARB1,0.606
DLG5,NKX2-3,0.606
JUN,XIAP,0.606
DLEU1,RDX,0.606
CASP8,PARK7,0.606
PTGS1,NOTCH1,0.606
HSD3B2,CYP8B1,0.606
TNF,HMOX1,0.606
HSPA5,ENO1,0.606
SC5DL,MVK,0.606
