disease,diseaseClass,genes
Cystic Fibrosis,Digestive System ; Respiratory Tract ; Congenital-Hereditary-and Neonatal  and Abnormalities,MMP9
Hemorrhage,Pathological Conditions,MMP9
Pre-Eclampsia,Female Urogenital,MMP9
Lupus Erythematosus-Systemic,Skin and Connective Tissue ; Immune System ,MMP9
Esophageal Neoplasms, Digestive System ,MMP9
Leukemia-Lymphocytic-Chronic-B-Cell, Hemic and Lymphatic ; Immune System ,MMP9
Ischemia,Pathological Conditions,MMP9
Reperfusion Injury,Cardiovascular ; Pathological Conditions,MMP9
Hyperlipoproteinemia Type II,Congenital-Hereditary-and Neonatal  and Abnormalities; Nutritional and Metabolic ,MMP9
Metaplasia,Pathological Conditions,MMP9
Sarcoma,Neoplasms,MMP9
Mesothelioma,Neoplasms,MMP9
Scleroderma-Systemic,Skin and Connective Tissue ,MMP9
Tuberculosis,Bacterial Infections and Mycoses,MMP9
Hepatitis B-Chronic,Virus ; Digestive System ,MMP9
Acute Coronary Syndrome,Cardiovascular ; Pathological Conditions,MMP9
Constriction-Pathologic,Pathological Conditions,MMP9
Amyotrophic Lateral Sclerosis,Nervous System ; Nutritional and Metabolic ,MMP9
Pleural Effusion-Malignant, Respiratory Tract ,MMP9
Lyme Disease,Bacterial Infections and Mycoses,MMP9
Spinal Cord Injuries,Nervous System ; Wounds and Injuries,MMP9
Chronic Periodontitis,Stomatognathic ,MMP9
Myocardial Ischemia,Cardiovascular ,MMP9
Carotid Stenosis,Nervous System ; Cardiovascular ,MMP9
Granuloma,Hemic and Lymphatic ; Pathological Conditions,MMP9
Carcinoma in Situ,Neoplasms,MMP9
Polymyositis,Musculoskeletal ; Nervous System ,MMP9
Dermatomyositis,Musculoskeletal ; Nervous System ; Skin and Connective Tissue ,MMP9
Meningioma, Nervous System ,MMP9
Uterine Cervical Neoplasms, Female Urogenital,MMP9
Nasal Polyps,Respiratory Tract ; Otorhinolaryngologic ; Pathological Conditions,MMP9
Precursor Cell Lymphoblastic Leukemia-Lymphoma, Hemic and Lymphatic ; Immune System ,MMP9
Cleft Lip,Stomatognathic ; Congenital-Hereditary-and Neonatal  and Abnormalities,MMP9
Hypertrophy,Pathological Conditions,MMP9
Ulcer,Pathological Conditions,MMP9
Bronchiolitis Obliterans,Respiratory Tract ,MMP9
Peripheral Nervous System Diseases,Nervous System ,MMP9
Purpura,Hemic and Lymphatic ; Pathological Conditions,MMP9
Seizures-Febrile,Nervous System ,MMP9
Leukocytosis,Hemic and Lymphatic ; Pathological Conditions,MMP9
Neuromuscular Diseases,Nervous System ,MMP9
Lung Diseases,Respiratory Tract ,MMP9
Glomerulonephritis-IGA,Urogenital; Immune System ,MMP9
Brain Ischemia,Nervous System ; Cardiovascular ,MMP9
Pleural Effusion,Respiratory Tract ,MMP9
Edema,Pathological Conditions,MMP9
Fibrosarcoma,Neoplasms,MMP9
Hypertension-Pregnancy-Induced,Female Urogenital; Cardiovascular ,MMP9
Kidney Diseases,Urogenital,MMP9
Bronchopulmonary Dysplasia,Respiratory Tract ; Congenital-Hereditary-and Neonatal  and Abnormalities,MMP9
Subacute Sclerosing Panencephalitis,Virus ; Nervous System ,MMP9
Pyelonephritis,Urogenital,MMP9
Meningitis-Viral,Virus ; Nervous System ,MMP9
Meningitis-Bacterial,Bacterial Infections and Mycoses; Nervous System ,MMP9
Lichen Planus,Skin and Connective Tissue ,MMP9
Otitis Media with Effusion,Otorhinolaryngologic ,MMP9
Fetal Growth Retardation,Female Urogenital; Congenital-Hereditary-and Neonatal  and Abnormalities; Pathological Conditions,MMP9
Pemphigus,Skin and Connective Tissue ; Immune System ,MMP9
Rupture,Wounds and Injuries,MMP9
Aneurysm,Cardiovascular ,MMP9
Spinal Cord Diseases,Nervous System ,MMP9
Pneumonia,Respiratory Tract ,MMP9
Osteoarthritis-Knee,Musculoskeletal ,MMP9
Giant Cell Arteritis,Nervous System ; Cardiovascular ; Skin and Connective Tissue ; Immune System ,MMP9
Myocarditis,Cardiovascular ,MMP9
Dilatation-Pathologic,Pathological Conditions,MMP9
Takayasu Arteritis,Cardiovascular ; Skin and Connective Tissue ,MMP9
Dermatitis,Skin and Connective Tissue ,MMP9
Stevens-Johnson Syndrome,Stomatognathic ; Skin and Connective Tissue ,MMP9
Leukoaraiosis,Pathological Conditions,MMP9
Synovitis-Pigmented Villonodular,Musculoskeletal ,MMP9
Coronary Aneurysm,Cardiovascular ,MMP9
Ascites,Pathological Conditions,MMP9
Pulmonary Sclerosing Hemangioma, Respiratory Tract ,MMP9
Parotitis,Stomatognathic ,MMP9
Colitis-Ischemic,Digestive System ; Cardiovascular ,MMP9
Corneal Ulcer,Bacterial Infections and Mycoses; Eye ,MMP9
Uterine Hemorrhage,Female Urogenital; Pathological Conditions,MMP9
Epidermal Necrolysis-Toxic,Skin and Connective Tissue ; Immune System ; Substance-Related Disorders,MMP9
Adenomatous Polyps,Neoplasms,MMP9
Varicose Veins,Cardiovascular ,MMP9
Acantholysis,Skin and Connective Tissue ; Pathological Conditions,MMP9
Mycobacterium Infections,Bacterial Infections and Mycoses,MMP9
Multiple Sclerosis-Chronic Progressive,Nervous System ; Immune System ,MMP9
Meningitis-Pneumococcal,Bacterial Infections and Mycoses; Nervous System ,MMP9
Multiple Sclerosis-Relapsing-Remitting,Nervous System ; Immune System ,MMP9
Arthritis-Gouty,Musculoskeletal ; Congenital-Hereditary-and Neonatal  and Abnormalities; Nutritional and Metabolic ,MMP9
Carcinoma-Hepatocellular, Digestive System ,MICA
Coronary Aneurysm,Cardiovascular ,MICA
Oral Submucous Fibrosis,Stomatognathic ,MICA
Arthritis-Psoriatic,Musculoskeletal ; Skin and Connective Tissue ,MICA
Celiac Disease,Digestive System ; Nutritional and Metabolic ,MICA
Lupus Erythematosus-Systemic,Skin and Connective Tissue ; Immune System ,MICA
Addison Disease,Endocrine System ; Immune System ,MICA
Behcet Syndrome,Stomatognathic ; Eye ; Cardiovascular ; Skin and Connective Tissue ,MICA
Diabetes Mellitus-Type 1,Nutritional and Metabolic ; Endocrine System ; Immune System ,MICA
Colitis-Ulcerative,Digestive System ,MICA
Nutrition Disorders,Nutritional and Metabolic ,MICA
Arthritis-Rheumatoid,Musculoskeletal ; Skin and Connective Tissue ; Immune System ,MICA
Psoriasis,Skin and Connective Tissue ,MICA
Spondylitis-Ankylosing,Musculoskeletal ,MICA
Carcinoma-Squamous Cell,Neoplasms,MICA
Carcinoma,Neoplasms,MICA
Neoplasms,Neoplasms,MICA
Infection,Bacterial Infections and Mycoses,MICA
Melanoma,Neoplasms,MICA
Multiple Sclerosis,Nervous System ; Immune System ,MICA
Diabetes Mellitus,Nutritional and Metabolic ; Endocrine System ,MICA
Autoimmune Diseases,Immune System ,MICA
Multiple Myeloma, Cardiovascular ; Hemic and Lymphatic ; Immune System ,MICA
Cholangiocarcinoma,Neoplasms,MICA
Osteosarcoma,Neoplasms,MICA
Arthritis,Musculoskeletal ,MICA
Crohn Disease,Digestive System ,MICA
Diabetes-Gestational,Female Urogenital; Nutritional and Metabolic ; Endocrine System ,MICA
Hepatitis C,Virus ; Digestive System ,MICA
Arthritis-Juvenile Rheumatoid,Musculoskeletal ; Skin and Connective Tissue ; Immune System ,MICA
Rectal Neoplasms, Digestive System ,MICA
Alopecia Areata,Skin and Connective Tissue ,MICA
Takayasu Arteritis,Cardiovascular ; Skin and Connective Tissue ,MICA
Spondylitis,Bacterial Infections and Mycoses; Musculoskeletal ,MICA
Histoplasmosis,Bacterial Infections and Mycoses,MICA
Arthritis-Psoriatic,Musculoskeletal ; Skin and Connective Tissue ,LTA
Coronary Artery Disease,Cardiovascular ,LTA
Hepatic Encephalopathy,Digestive System ; Nervous System ; Nutritional and Metabolic ,LTA
Leprosy,Bacterial Infections and Mycoses,LTA
Myocardial Infarction,Cardiovascular ,LTA
Peripheral Nervous System Diseases,Nervous System ,LTA
Arthritis-Rheumatoid,Musculoskeletal ; Skin and Connective Tissue ; Immune System ,LTA
Paraparesis-Tropical Spastic,Virus ; Nervous System ,LTA
Leukemia-Lymphoma-Adult T-Cell, Hemic and Lymphatic ; Immune System ,LTA
Sepsis,Bacterial Infections and Mycoses; Pathological Conditions,LTA
Postoperative Complications,Pathological Conditions,LTA
Bronchiectasis,Respiratory Tract ,LTA
Pulmonary Disease-Chronic Obstructive,Respiratory Tract ,LTA
Hepatitis B-Chronic,Virus ; Digestive System ,LTA
Alzheimer Disease,Nervous System ; Mental Disorders,LTA
Psoriasis,Skin and Connective Tissue ,LTA
Mouth Neoplasms, Stomatognathic ,LTA
Precancerous Conditions,Neoplasms,LTA
Oral Submucous Fibrosis,Stomatognathic ,LTA
Coronary Disease,Cardiovascular ,LTA
Autoimmune Diseases,Immune System ,LTA
Lupus Erythematosus-Systemic,Skin and Connective Tissue ; Immune System ,LTA
Lupus Nephritis,Urogenital; Skin and Connective Tissue ; Immune System ,LTA
Stomach Neoplasms, Digestive System ,LTA
Diabetes Mellitus-Type 1,Nutritional and Metabolic ; Endocrine System ; Immune System ,LTA
Hypertriglyceridemia,Nutritional and Metabolic ,LTA
Urinary Tract Infections,Bacterial Infections and Mycoses; Urogenital,LTA
Asthma,Respiratory Tract ; Immune System ,LTA
Purpura-Thrombocytopenic-Idiopathic,Hemic and Lymphatic ; Immune System ; Pathological Conditions,LTA
Chronic Disease,Pathological Conditions,LTA
Inflammation,Pathological Conditions,LTA
Limb Deformities-Congenital,Musculoskeletal ; Congenital-Hereditary-and Neonatal  and Abnormalities,LTA
Seminoma,Neoplasms,LTA
Testicular Neoplasms, Male Urogenital ; Endocrine System ,LTA
Brain Ischemia,Nervous System ; Cardiovascular ,LTA
Hypertension,Cardiovascular ,LTA
Osteoporosis,Musculoskeletal ,LTA
Stroke,Nervous System ; Cardiovascular ,LTA
Tuberculosis,Bacterial Infections and Mycoses,LTA
Uveitis,Eye ,LTA
Chagas Cardiomyopathy,Parasitic ; Cardiovascular ,LTA
Lung Neoplasms, Respiratory Tract ,LTA
Schizophrenia,Mental Disorders,LTA
Carcinoma-Squamous Cell,Neoplasms,LTA
Breast Neoplasms, Skin and Connective Tissue ,LTA
Infection,Bacterial Infections and Mycoses,LTA
Melanoma,Neoplasms,LTA
Multiple Myeloma, Cardiovascular ; Hemic and Lymphatic ; Immune System ,LTA
Urinary Bladder Neoplasms, Urogenital,LTA
Atherosclerosis,Cardiovascular ,LTA
Lymphoma-Non-Hodgkin, Hemic and Lymphatic ; Immune System ,LTA
Crohn Disease,Digestive System ,LTA
Chorioamnionitis,Female Urogenital; Congenital-Hereditary-and Neonatal  and Abnormalities,LTA
Uveitis-Anterior,Eye ,LTA
Pancreatitis,Digestive System ,LTA
Sarcoidosis,Hemic and Lymphatic ,LTA
Premature Birth,Female Urogenital,LTA
Hepatitis C,Virus ; Digestive System ,LTA
Arthritis-Juvenile Rheumatoid,Musculoskeletal ; Skin and Connective Tissue ; Immune System ,LTA
Migraine Disorders,Nervous System ,LTA
Cerebral Infarction,Nervous System ; Cardiovascular ,LTA
Infarction,Pathological Conditions,LTA
Duodenal Ulcer,Digestive System ,LTA
Diabetes Complications,Endocrine System ,LTA
Hyperlipoproteinemia Type I,Congenital-Hereditary-and Neonatal  and Abnormalities; Nutritional and Metabolic ,LPL
Cardiomyopathies,Cardiovascular ,LPL
Dyslipidemias,Nutritional and Metabolic ,LPL
Hepatitis C,Virus ; Digestive System ,LPL
Hyperlipidemia-Familial Combined,Congenital-Hereditary-and Neonatal  and Abnormalities; Nutritional and Metabolic ,LPL
Hyperlipoproteinemia Type II,Congenital-Hereditary-and Neonatal  and Abnormalities; Nutritional and Metabolic ,LPL
Hypertriglyceridemia,Nutritional and Metabolic ,LPL
Necrosis,Pathological Conditions,LPL
Obesity,Nutritional and Metabolic ; Pathological Conditions,LPL
Pancreatitis,Digestive System ,LPL
Prostatic Neoplasms, Male Urogenital ,LPL
Myocardial Ischemia,Cardiovascular ,LPL
Hypercholesterolemia,Nutritional and Metabolic ,LPL
Albuminuria,Urogenital; Pathological Conditions,LPL
Hyperlipidemias,Nutritional and Metabolic ,LPL
Cerebral Infarction,Nervous System ; Cardiovascular ,LPL
Angina-Unstable,Cardiovascular ; Pathological Conditions,LPL
Myocardial Infarction,Cardiovascular ,LPL
Diabetes Mellitus-Type 1,Nutritional and Metabolic ; Endocrine System ; Immune System ,LPL
Alzheimer Disease,Nervous System ; Mental Disorders,LPL
Coronary Disease,Cardiovascular ,LPL
HELLP Syndrome,Female Urogenital,LPL
Pre-Eclampsia,Female Urogenital,LPL
Coronary Artery Disease,Cardiovascular ,LPL
Hypertension,Cardiovascular ,LPL
Heart Diseases,Cardiovascular ,LPL
Insulin Resistance,Nutritional and Metabolic ,LPL
Syndrome,Pathological Conditions,LPL
Diabetes Mellitus,Nutritional and Metabolic ; Endocrine System ,LPL
Arteriosclerosis,Cardiovascular ,LPL
Stroke,Nervous System ; Cardiovascular ,LPL
Metabolic Syndrome X,Nutritional and Metabolic ,LPL
Carotid Stenosis,Nervous System ; Cardiovascular ,LPL
Cardiovascular Diseases,Cardiovascular ,LPL
Diabetic Neuropathies,Nervous System ; Endocrine System ,LPL
Lung Neoplasms, Respiratory Tract ,LPL
Adenocarcinoma,Neoplasms,LPL
Sleep Apnea-Obstructive,Respiratory Tract ; Nervous System ,LPL
Infection,Bacterial Infections and Mycoses,LPL
Atherosclerosis,Cardiovascular ,LPL
Venous Thromboembolism,Cardiovascular ,LPL
Leukemia-Lymphocytic-Chronic-B-Cell, Hemic and Lymphatic ; Immune System ,LPL
Neurodegenerative Diseases,Nervous System ,LPL
Colitis-Ulcerative,Digestive System ,LPL
Hyperinsulinism,Nutritional and Metabolic ,LPL
Diabetic Nephropathies,Urogenital; Endocrine System ,LPL
Hyperglycemia,Nutritional and Metabolic ,LPL
Hyperprolactinemia,Nervous System ; Endocrine System ,LPL
EMERY-DREIFUSS MUSCULAR DYSTROPHY 2-AUTOSOMAL DOMINANT,Musculoskeletal ; Nervous System ; Congenital-Hereditary-and Neonatal  and Abnormalities,LMNA
MUSCULAR DYSTROPHY-CONGENITAL-LMNA-RELATED,Musculoskeletal ; Nervous System ; Congenital-Hereditary-and Neonatal  and Abnormalities,LMNA
CARDIOMYOPATHY-DILATED-1A,Cardiovascular ,LMNA
LIPODYSTROPHY-FAMILIAL PARTIAL-TYPE 2,Skin and Connective Tissue ; Nutritional and Metabolic ,LMNA
MUSCULAR DYSTROPHY-LIMB-GIRDLE-TYPE 1B,Musculoskeletal ; Nervous System ; Congenital-Hereditary-and Neonatal  and Abnormalities,LMNA
CARDIOMYOPATHY-DILATED-WITH HYPERGONADOTROPIC HYPOGONADISM,Unclassified,LMNA
Progeria,Congenital-Hereditary-and Neonatal  and Abnormalities; Nutritional and Metabolic ,LMNA
CHARCOT-MARIE-TOOTH DISEASE-AXONAL-TYPE 2B1,Nervous System ; Congenital-Hereditary-and Neonatal  and Abnormalities,LMNA
MANDIBULOACRAL DYSPLASIA WITH TYPE A LIPODYSTROPHY,Musculoskeletal ,LMNA
Cardiomyopathy-Dilated,Cardiovascular ,LMNA
Craniofacial Abnormalities,Musculoskeletal ; Congenital-Hereditary-and Neonatal  and Abnormalities,LMNA
Death-Sudden-Cardiac,Cardiovascular ; Pathological Conditions,LMNA
Foot Deformities-Congenital,Musculoskeletal ; Congenital-Hereditary-and Neonatal  and Abnormalities,LMNA
Hand Deformities-Congenital,Musculoskeletal ; Congenital-Hereditary-and Neonatal  and Abnormalities,LMNA
Heart Block,Cardiovascular ; Pathological Conditions,LMNA
HEART-HAND SYNDROME-SLOVENIAN TYPE,Cardiovascular ; Congenital-Hereditary-and Neonatal  and Abnormalities,LMNA
HIV-Associated Lipodystrophy Syndrome,Virus ; Skin and Connective Tissue ; Nutritional and Metabolic ; Immune System ,LMNA
Lipodystrophy-Familial Partial,Skin and Connective Tissue ; Nutritional and Metabolic ,LMNA
Muscular Dystrophies-Limb-Girdle,Musculoskeletal ; Nervous System ; Congenital-Hereditary-and Neonatal  and Abnormalities,LMNA
Muscular Dystrophy-Emery-Dreifuss,Musculoskeletal ; Nervous System ; Congenital-Hereditary-and Neonatal  and Abnormalities,LMNA
Scleroderma-Localized,Skin and Connective Tissue ,LMNA
Sinoatrial Block,Cardiovascular ; Pathological Conditions,LMNA
Tachycardia-Ventricular,Cardiovascular ; Pathological Conditions,LMNA
RESTRICTIVE DERMOPATHY-LETHAL,Congenital-Hereditary-and Neonatal  and Abnormalities; Skin and Connective Tissue ,LMNA
Werner Syndrome,Congenital-Hereditary-and Neonatal  and Abnormalities; Nutritional and Metabolic ,LMNA
Ventricular Dysfunction-Left,Cardiovascular ,LMNA
Hyperinsulinism,Nutritional and Metabolic ,LMNA
Obesity,Nutritional and Metabolic ; Pathological Conditions,LMNA
Cerebrovascular Disorders,Nervous System ; Cardiovascular ,LMNA
Diabetic Nephropathies,Urogenital; Endocrine System ,LMNA
Insulin Resistance,Nutritional and Metabolic ,LMNA
Hyperlipidemias,Nutritional and Metabolic ,LMNA
Carcinoma,Neoplasms,LMNA
Atrial Fibrillation,Cardiovascular ; Pathological Conditions,LMNA
Heart Diseases,Cardiovascular ,LMNA
Myositis,Musculoskeletal ; Nervous System ,LMNA
Charcot-Marie-Tooth Disease,Nervous System ; Congenital-Hereditary-and Neonatal  and Abnormalities,LMNA
Death,Pathological Conditions,LMNA
Muscular Diseases,Musculoskeletal ; Nervous System ,LMNA
Diabetes-Gestational,Female Urogenital; Nutritional and Metabolic ; Endocrine System ,LMNA
Atrophy,Pathological Conditions,LMNA
Contracture,Musculoskeletal ,LMNA
Disease Progression,Pathological Conditions,LMNA
Herpes Simplex,Virus ; Skin and Connective Tissue ,LMNA
Peripheral Nervous System Diseases,Nervous System ,LMNA
Cardiomyopathies,Cardiovascular ,LMNA
Lipodystrophy,Skin and Connective Tissue ; Nutritional and Metabolic ,LMNA
Muscular Dystrophies,Musculoskeletal ; Nervous System ; Congenital-Hereditary-and Neonatal  and Abnormalities,LMNA
Infertility,Urogenital,LMNA
Atrioventricular Block,Cardiovascular ; Pathological Conditions,LMNA
Aging-Premature,Pathological Conditions,LMNA
Insulin Resistance,Nutritional and Metabolic ,LIPE
Obesity,Nutritional and Metabolic ; Pathological Conditions,LIPE
Hypertension-Pregnancy-Induced,Female Urogenital; Cardiovascular ,LIPE
Pre-Eclampsia,Female Urogenital,LIPE
Polycystic Ovary Syndrome, Female Urogenital; Endocrine System ,LIPE
Hyperinsulinism,Nutritional and Metabolic ,LIPE
HYPERCHOLESTEROLEMIA-AUTOSOMAL DOMINANT,Congenital-Hereditary-and Neonatal  and Abnormalities; Nutritional and Metabolic ,LDLR
Atherosclerosis,Cardiovascular ,LDLR
Coronary Artery Disease,Cardiovascular ,LDLR
Hypercholesterolemia,Nutritional and Metabolic ,LDLR
Hyperlipoproteinemia Type II,Congenital-Hereditary-and Neonatal  and Abnormalities; Nutritional and Metabolic ,LDLR
Alzheimer Disease,Nervous System ; Mental Disorders,LDLR
Hypertension,Cardiovascular ,LDLR
Obesity,Nutritional and Metabolic ; Pathological Conditions,LDLR
Cardiovascular Diseases,Cardiovascular ,LDLR
Arteriosclerosis,Cardiovascular ,LDLR
Xanthomatosis,Nutritional and Metabolic ,LDLR
Hepatitis C,Virus ; Digestive System ,LDLR
Diabetes Mellitus-Type 1,Nutritional and Metabolic ; Endocrine System ; Immune System ,LDLR
Muscular Diseases,Musculoskeletal ; Nervous System ,LDLR
Hypothyroidism,Endocrine System ,LDLR
Thinness,Pathological Conditions,LDLR
Coronary Disease,Cardiovascular ,LDLR
Hepatitis C-Chronic,Virus ; Digestive System ,LDLR
Viremia,Virus ; Pathological Conditions,LDLR
Liver Cirrhosis,Digestive System ,LDLR
Myocardial Infarction,Cardiovascular ,LDLR
Dyslipidemias,Nutritional and Metabolic ,LDLR
Syndrome,Pathological Conditions,LDLR
Hyperlipidemia-Familial Combined,Congenital-Hereditary-and Neonatal  and Abnormalities; Nutritional and Metabolic ,LDLR
FATTY LIVER DISEASE-NONALCOHOLIC-SUSCEPTIBILITY TO-1,Digestive System ,LDLR
Carcinoma-Hepatocellular, Digestive System ,LDLR
Infection,Bacterial Infections and Mycoses,LDLR
Bile Duct Neoplasms, Digestive System ,LDLR
Hypertriglyceridemia,Nutritional and Metabolic ,LDLR
Constriction-Pathologic,Pathological Conditions,LDLR
Migraine with Aura,Nervous System ,LDLR
Migraine without Aura,Nervous System ,LDLR
Hypobetalipoproteinemias,Congenital-Hereditary-and Neonatal  and Abnormalities; Nutritional and Metabolic ,LDLR
FISH-EYE DISEASE,Congenital-Hereditary-and Neonatal  and Abnormalities; Nutritional and Metabolic ,LCAT
Lecithin Acyltransferase Deficiency,Congenital-Hereditary-and Neonatal  and Abnormalities; Nutritional and Metabolic ,LCAT
Corneal Opacity,Eye ,LCAT
Coronary Artery Disease,Cardiovascular ,LCAT
Hyperlipidemias,Nutritional and Metabolic ,LCAT
Dyslipidemias,Nutritional and Metabolic ,LCAT
Syndrome,Pathological Conditions,LCAT
Atherosclerosis,Cardiovascular ,LCAT
Cerebral Infarction,Nervous System ; Cardiovascular ,LCAT
ANEMIA-DYSERYTHROPOIETIC CONGENITAL-TYPE IV,Hemic and Lymphatic ; Congenital-Hereditary-and Neonatal  and Abnormalities,KLF1
Hematologic Diseases,Hemic and Lymphatic ,KLF1
HEMOGLOBIN--BETA LOCUS,Unclassified,KLF1
Thrombasthenia,Hemic and Lymphatic ; Congenital-Hereditary-and Neonatal  and Abnormalities,ITGA2B
Carotid Artery Thrombosis,Nervous System ; Cardiovascular ,ITGA2B
Cerebral Hemorrhage,Nervous System ; Cardiovascular ; Pathological Conditions,ITGA2B
Stroke,Nervous System ; Cardiovascular ,ITGA2B
Thrombocytopenia,Hemic and Lymphatic ,ITGA2B
Abortion-Spontaneous,Female Urogenital,ITGA2B
Thrombophilia,Hemic and Lymphatic ,ITGA2B
Recurrence,Pathological Conditions,ITGA2B
Diabetic Retinopathy,Eye ; Cardiovascular ; Endocrine System ,ITGA2B
Thrombosis,Cardiovascular ,ITGA2B
Postoperative Complications,Pathological Conditions,ITGA2B
Myocardial Infarction,Cardiovascular ,ITGA2B
Hypertension,Cardiovascular ,ITGA2B
Hypercholesterolemia,Nutritional and Metabolic ,ITGA2B
Obesity,Nutritional and Metabolic ; Pathological Conditions,ITGA2B
Diabetes Complications,Endocrine System ,ITGA2B
GLANZMANN THROMBASTHENIA-AUTOSOMAL DOMINANT,Hemic and Lymphatic ; Congenital-Hereditary-and Neonatal  and Abnormalities,ITGA2B
Schizophrenia,Mental Disorders,ITGA2B
Neoplasms,Neoplasms,ITGA2B
Purpura-Thrombocytopenic-Idiopathic,Hemic and Lymphatic ; Immune System ; Pathological Conditions,ITGA2B
Coronary Artery Disease,Cardiovascular ,ITGA2B
Anemia-Aplastic,Hemic and Lymphatic ,ITGA2B
Takayasu Arteritis,Cardiovascular ; Skin and Connective Tissue ,ITGA2B
Gliosis,Pathological Conditions,ITGA2
Hyperalgesia,Nervous System ; Pathological Conditions,ITGA2
Retinal Vein Occlusion,Eye ; Cardiovascular ,ITGA2
Hemorrhage,Pathological Conditions,ITGA2
Postoperative Complications,Pathological Conditions,ITGA2
Coronary Artery Disease,Cardiovascular ,ITGA2
Coronary Thrombosis,Cardiovascular ,ITGA2
Myocardial Infarction,Cardiovascular ,ITGA2
Carotid Artery Diseases,Nervous System ; Cardiovascular ,ITGA2
Diabetic Angiopathies,Cardiovascular ; Endocrine System ,ITGA2
Behcet Syndrome,Stomatognathic ; Eye ; Cardiovascular ; Skin and Connective Tissue ,ITGA2
Thrombosis,Cardiovascular ,ITGA2
Coronary Disease,Cardiovascular ,ITGA2
Angina-Unstable,Cardiovascular ; Pathological Conditions,ITGA2
Acute Disease,Pathological Conditions,ITGA2
Diabetic Retinopathy,Eye ; Cardiovascular ; Endocrine System ,ITGA2
Diabetes Mellitus,Nutritional and Metabolic ; Endocrine System ,ITGA2
Diabetes Mellitus-Type 1,Nutritional and Metabolic ; Endocrine System ; Immune System ,ITGA2
Diabetes Complications,Endocrine System ,ITGA2
Diabetic Nephropathies,Urogenital; Endocrine System ,ITGA2
Cardiovascular Diseases,Cardiovascular ,ITGA2
Blood Platelet Disorders,Hemic and Lymphatic ,ITGA2
Vascular Diseases,Cardiovascular ,ITGA2
Mouth Neoplasms, Stomatognathic ,ITGA2
Limb Deformities-Congenital,Musculoskeletal ; Congenital-Hereditary-and Neonatal  and Abnormalities,ITGA2
Inflammation,Pathological Conditions,ITGA2
Hypertension,Cardiovascular ,ITGA2
Glomerulonephritis-IGA,Urogenital; Immune System ,ITGA2
Carcinoma,Neoplasms,ITGA2
Prostatic Neoplasms, Male Urogenital ,ITGA2
Breast Neoplasms, Skin and Connective Tissue ,ITGA2
Ameloblastoma,Neoplasms,ITGA2
Neoplasms,Neoplasms,ITGA2
Adenocarcinoma,Neoplasms,ITGA2
Pancreatic Neoplasms, Digestive System ; Endocrine System ,ITGA2
Melanoma,Neoplasms,ITGA2
Recurrence,Pathological Conditions,ITGA2
Colonic Neoplasms, Digestive System ,ITGA2
Atrial Fibrillation,Cardiovascular ; Pathological Conditions,ITGA2
Stroke,Nervous System ; Cardiovascular ,ITGA2
Arthritis-Rheumatoid,Musculoskeletal ; Skin and Connective Tissue ; Immune System ,IL6R
Osteoporosis,Musculoskeletal ,IL6R
Schizophrenia,Mental Disorders,IL6R
Stomach Neoplasms, Digestive System ,IL6R
Glucose Intolerance,Nutritional and Metabolic ,IL6R
Obesity,Nutritional and Metabolic ; Pathological Conditions,IL6R
Hyperandrogenism,Urogenital; Congenital-Hereditary-and Neonatal  and Abnormalities; Endocrine System ,IL6R
Insulin Resistance,Nutritional and Metabolic ,IL6R
Metabolic Syndrome X,Nutritional and Metabolic ,IL6R
Coronary Disease,Cardiovascular ,IL6R
Inflammation,Pathological Conditions,IL6R
Myocardial Infarction,Cardiovascular ,IL6R
Stroke,Nervous System ; Cardiovascular ,IL6R
Cardiovascular Diseases,Cardiovascular ,IL6R
Pulmonary Disease-Chronic Obstructive,Respiratory Tract ,IL6R
Carcinoma,Neoplasms,IL6R
Colorectal Neoplasms, Digestive System ,IL6R
Neoplasms,Neoplasms,IL6R
Pancreatic Neoplasms, Digestive System ; Endocrine System ,IL6R
Melanoma,Neoplasms,IL6R
Multiple Sclerosis,Nervous System ; Immune System ,IL6R
Autoimmune Diseases,Immune System ,IL6R
Multiple Myeloma, Cardiovascular ; Hemic and Lymphatic ; Immune System ,IL6R
Hyperparathyroidism,Endocrine System ,IL6R
Diabetic Nephropathies,Urogenital; Endocrine System ,IL6R
Otitis Media,Otorhinolaryngologic ,IL6R
Giant Lymph Node Hyperplasia,Hemic and Lymphatic ; Immune System ,IL6R
Premature Birth,Female Urogenital,IL6R
Hashimoto Disease,Endocrine System ,IL6R
Thyroid Nodule, Endocrine System ,IL6R
Arsenic Poisoning,Nervous System ; Substance-Related Disorders,IL1RN
Arthritis-Rheumatoid,Musculoskeletal ; Skin and Connective Tissue ; Immune System ,IL1RN
Atrophy,Pathological Conditions,IL1RN
Autistic Disorder,Mental Disorders,IL1RN
Brain Ischemia,Nervous System ; Cardiovascular ,IL1RN
Bronchial Hyperreactivity,Respiratory Tract ,IL1RN
Colonic Neoplasms, Digestive System ,IL1RN
Diarrhea,Pathological Conditions,IL1RN
Extravasation of Diagnostic and Therapeutic Materials,Pathological Conditions; Wounds and Injuries,IL1RN
Fibrosis,Pathological Conditions,IL1RN
Hyperalgesia,Nervous System ; Pathological Conditions,IL1RN
Kidney Diseases,Urogenital,IL1RN
Liver Failure-Acute,Digestive System ,IL1RN
